,cc,coh,coh_freq,exp_n,musician,riot_type,factor1,factor2
150,0.09146297505413933,0.6784318650821076,23.2421875,13,Piano,head,close,No
151,0.08213622496168933,0.9254939912349317,1.46484375,13,Piano,leg,close,No
152,0.026020170356099496,0.6839109585362102,15.13671875,13,Drum,head,close,No
153,0.024653573611393077,0.7366301854068503,28.41796875,13,Drum,leg,close,No
154,0.03491233806778861,0.5887450215840012,15.52734375,13,Clarinet,head,close,No
155,0.2552070593106815,0.9693994767476208,1.07421875,13,Clarinet,leg,close,No
156,0.0454121352083659,0.6602038498608821,37.890625,14,Sax,head,close,Yes
157,0.19013428206781147,0.9551041565762449,2.734375,14,Sax,leg,close,Yes
158,0.09330405254755733,0.6995113424516013,18.9453125,14,Accordion,head,close,Yes
159,0.19980451940412755,0.9820992237288049,1.3671875,14,Accordion,leg,close,Yes
160,0.10071581381841599,0.933695959585464,2.5390625,14,Cello,head,close,Yes
161,0.040082954041360634,0.745500435029476,49.12109375,14,Cello,leg,close,Yes
162,0.03270803848278914,0.6080006090915949,48.4375,14,Piano,head,close,Yes
163,0.05596578051011111,0.7032710575594241,27.63671875,14,Piano,leg,close,Yes
164,0.03602711712121331,0.5586016523844681,1.3671875,14,Drum,head,close,Yes
165,0.01503492674133752,0.6702028010606704,45.60546875,14,Drum,leg,close,Yes
166,0.04369594474920238,0.6650550216930163,45.1171875,14,Clarinet,head,close,Yes
167,0.1332750194093261,0.9161661386576202,1.26953125,14,Clarinet,leg,close,Yes
168,0.04885072448535599,0.7462800782449028,9.1796875,15,Sax,head,high,No
169,0.15540270622441335,0.9156131118718677,4.8828125,15,Sax,leg,high,No
170,0.15693713274598475,0.9739759305161176,1.171875,15,Accordion,head,high,No
171,0.10389958243719086,0.802576297228087,0.9765625,15,Accordion,leg,high,No
172,0.1314834327153103,0.8544941018923116,17.3828125,15,Cello,head,high,No
173,0.17448607343313463,0.8923315672565205,0.5859375,15,Cello,leg,high,No
174,0.031672063733214816,0.7557157832842191,1.953125,15,Piano,head,high,No
175,0.054670524840543896,0.8492029904562699,3.3203125,15,Piano,leg,high,No
176,0.04135533018762571,0.6344773040736726,34.66796875,15,Drum,head,high,No
177,0.038018488654462466,0.6135719363867116,31.34765625,15,Drum,leg,high,No
178,0.03613482512488567,0.7087180021714796,38.28125,15,Clarinet,head,high,No
179,0.1152859412863431,0.9394542668175764,1.171875,15,Clarinet,leg,high,No
180,0.031415228888698334,0.704557992633439,47.8515625,16,Sax,head,same,No
181,0.13836898580631968,0.9575754857239296,1.3671875,16,Sax,leg,same,No
182,0.12500636994127204,0.9171260268701931,2.63671875,16,Accordion,head,same,No
183,0.08175557027832348,0.8167601357265666,1.26953125,16,Accordion,leg,same,No
184,0.06482646260151932,0.799891060178878,2.83203125,16,Cello,head,same,No
185,0.02085530514609476,0.7391462382480314,5.46875,16,Cello,leg,same,No
186,0.07137886569908176,0.7527958519956668,1.3671875,16,Piano,head,same,No
187,0.06766995418120271,0.7353287930375149,47.36328125,16,Piano,leg,same,No
188,0.02392863911544856,0.6776141890453645,26.46484375,16,Drum,head,same,No
189,0.024702290100453616,0.7521914674861798,18.1640625,16,Drum,leg,same,No
190,0.03621664474294127,0.5768705698488354,35.05859375,16,Clarinet,head,same,No
191,0.22063455345482047,0.9824542789123167,1.3671875,16,Clarinet,leg,same,No
192,0.028926272466758433,0.7536502857790215,25.0,17,Sax,head,high,No
193,0.09906094912121813,0.9105979093203046,1.07421875,17,Sax,leg,high,No
194,0.12265710790467386,0.8938703026377023,1.46484375,17,Accordion,head,high,No
195,0.10930278779003244,0.880771174975253,1.46484375,17,Accordion,leg,high,No
196,0.02045415511229201,0.5363881861183094,33.984375,17,Cello,head,high,No
197,0.018260192587998603,0.6661279026380534,22.65625,17,Cello,leg,high,No
198,0.10856918376531628,0.8901527219384389,2.63671875,17,Piano,head,high,No
199,0.08723310597140665,0.9013686106960183,2.63671875,17,Piano,leg,high,No
200,0.10297680178025409,0.7708520446942033,1.46484375,17,Drum,head,high,No
201,0.011856169383655529,0.7790338631496653,38.57421875,17,Drum,leg,high,No
202,0.0319166506171691,0.7393396422171756,45.60546875,17,Clarinet,head,high,No
203,0.09122243235934943,0.9002624516086711,5.859375,17,Clarinet,leg,high,No
204,0.03216267397614216,0.7412714639113438,25.1953125,18,Sax,head,low,Yes
205,0.13472917216010347,0.8690790405414559,1.26953125,18,Sax,leg,low,Yes
206,0.06243452191231082,0.8717918558788562,1.171875,18,Accordion,head,low,Yes
207,0.11021343381151029,0.9582357222027881,1.953125,18,Accordion,leg,low,Yes
208,0.05388399079342357,0.7336804014518393,18.75,18,Cello,head,low,Yes
209,0.026487462236342473,0.7290475050961998,39.74609375,18,Cello,leg,low,Yes
210,0.1341667491858577,0.8829997466649128,2.05078125,18,Piano,head,low,Yes
211,0.038334732123842696,0.6383684152487175,19.140625,18,Piano,leg,low,Yes
212,0.11802713568728132,0.8156959045382199,8.0078125,18,Drum,head,low,Yes
213,0.028354821670840216,0.7935220032147001,35.7421875,18,Drum,leg,low,Yes
214,0.03142815284304523,0.7728695605720606,47.16796875,18,Clarinet,head,low,Yes
215,0.07420319520330025,0.9572254456420992,2.63671875,18,Clarinet,leg,low,Yes
216,0.02444553138070622,0.7778236694272936,10.7421875,19,Sax,head,high,Yes
217,0.10488270210836127,0.8554709147407425,7.8125,19,Sax,leg,high,Yes
218,0.09778912427908315,0.7945297799197377,2.5390625,19,Accordion,head,high,Yes
219,0.05885060898908741,0.9273793996643112,2.5390625,19,Accordion,leg,high,Yes
220,0.094999443445773,0.8402769180275574,25.87890625,19,Cello,head,high,Yes
221,0.03872875901010789,0.6731001200736982,26.5625,19,Cello,leg,high,Yes
222,0.040709281668577235,0.6885155631026274,14.16015625,19,Piano,head,high,Yes
223,0.03856449343424603,0.7364350884404903,10.64453125,19,Piano,leg,high,Yes
224,0.05055619532794133,0.6852862958398117,11.9140625,19,Drum,head,high,Yes
225,0.02953222394554469,0.9337821668659629,1.171875,19,Drum,leg,high,Yes
226,0.030754614473148045,0.7784807443047441,44.7265625,19,Clarinet,head,high,Yes
227,0.03435992417674947,0.7297255424630062,1.953125,19,Clarinet,leg,high,Yes
228,0.03665670088166023,0.6871240601952495,0.1953125,20,Sax,head,close,No
229,0.17627508464483388,0.9045423304070089,4.296875,20,Sax,leg,close,No
230,0.11741690728914213,0.8745025805817838,2.63671875,20,Accordion,head,close,No
231,0.0991778390741205,0.9424466579143426,1.3671875,20,Accordion,leg,close,No
232,0.0934403694384569,0.8150712005845501,1.26953125,20,Cello,head,close,No
233,0.07109687284211737,0.8261877684991007,9.27734375,20,Cello,leg,close,No
234,0.046057033063557996,0.6269302380330365,24.90234375,20,Piano,head,close,No
235,0.025478673416507117,0.7639740445590203,39.2578125,20,Piano,leg,close,No
236,0.04412536030210763,0.734498035046702,7.51953125,20,Drum,head,close,No
237,0.028064453641044936,0.6254165064893772,47.75390625,20,Drum,leg,close,No
238,0.04181146703155327,0.6412745270199617,6.0546875,20,Clarinet,head,close,No
239,0.1597667413554206,0.9028575876565816,2.734375,20,Clarinet,leg,close,No
240,0.035460719263843164,0.8098797531977222,2.83203125,21,Sax,head,close,Yes
241,0.17988061421836093,0.9658676221404762,2.734375,21,Sax,leg,close,Yes
242,0.08095078587016291,0.7896980356588696,2.24609375,21,Accordion,head,close,Yes
243,0.11307164821419442,0.9494428673318245,2.63671875,21,Accordion,leg,close,Yes
244,0.029352209225807294,0.7301990786639154,34.9609375,21,Cello,head,close,Yes
245,0.02051883935088009,0.7399192498831644,2.63671875,21,Cello,leg,close,Yes
