,cc,coh,coh_freq,exp_n,musician,riot_type,factor1,factor2
128,0.009716553333649814,0.5372976267642571,3.02734375,11,Drum,head,high,No
129,0.05524714727692202,0.9060284978973505,1.3671875,11,Drum,arm,high,No
130,0.09895619628168102,0.8642213780470475,1.66015625,11,Clarinet,head,high,No
131,0.11968145748089894,0.8880038147274675,1.66015625,11,Clarinet,arm,high,No
132,0.09440814382154773,0.9016255929007888,4.00390625,12,Sax,head,low,No
133,0.04447172838501209,0.7579186002985858,0.48828125,12,Sax,arm,low,No
134,0.18338443921644626,0.9703853005247521,1.3671875,12,Accordion,head,low,No
135,0.05611023008938775,0.7249873266368961,1.3671875,12,Accordion,arm,low,No
136,0.09292132494621402,0.5705595129901205,38.57421875,12,Cello,head,low,No
137,0.07051004769105121,0.6008431085038757,18.359375,12,Cello,arm,low,No
138,0.06755927572734917,0.6701413114967902,1.66015625,12,Piano,head,low,No
139,0.020417118864253365,0.5085238066212234,49.31640625,12,Piano,arm,low,No
140,0.108514235403051,0.8776508620296921,4.00390625,12,Drum,head,low,No
141,1.1314713156892814e-05,0.5474877393186357,0.0,12,Drum,arm,low,No
142,0.188031305780106,0.9496647289820785,0.68359375,12,Clarinet,head,low,No
143,0.03634542520492293,0.5992080827287768,12.890625,12,Clarinet,arm,low,No
144,0.17060823501717487,0.9472489031928711,1.66015625,13,Sax,head,high,Yes
145,0.08592615237622943,0.8925259740793008,1.66015625,13,Sax,arm,high,Yes
146,0.1182904157094924,0.8152576873102604,4.00390625,13,Accordion,head,high,Yes
147,0.054207465417099025,0.7853417200865177,4.00390625,13,Accordion,arm,high,Yes
148,0.09452815259678565,0.7113528508671099,1.3671875,13,Cello,head,high,Yes
149,0.144598053497405,0.8099590555408802,0.68359375,13,Cello,arm,high,Yes
150,,,0.0,13,Piano,head,high,Yes
151,,,0.0,13,Piano,arm,high,Yes
152,0.13006520019231638,0.9341920209298055,3.02734375,13,Drum,head,high,Yes
153,0.03441454294781912,0.4498535073430773,40.72265625,13,Drum,arm,high,Yes
154,0.028625458373638103,0.5358215038746078,2.5390625,13,Clarinet,head,high,Yes
